mz	H/C	O/C
111.986258	0.75	0.25
111.986258	0.75	0.25
113.965523	0.333333333	0.666666667
115.051301	2	0.5
120.993117	0.333333333	0.5
125.994514	0.333333333	1
128.010165	1	1
138.019667	0.833333333	0.5
141.103337	2	0.142857143
146.024752	0.625	0.25
146.028123	1.8	0.4
146.061137	1	0.111111111
147.045153	0.888888889	0.222222222
149.060803	1.111111111	0.222222222
151.040068	1	0.375
152.035317	1	0.428571429
153.092103	1.555555556	0.222222222
154.014581	0.833333333	0.666666667
159.102668	2	0.375
160.040402	0.777777778	0.222222222
160.999265	0.285714286	0.428571429
161.024418	0.666666667	0.333333333
161.035651	0.75	0.25
161.060803	1	0.2
163.040068	0.888888889	0.333333333
165.019332	0.75	0.5
165.034588	0.5	0.083333333
165.055718	1.111111111	0.333333333
165.092103	1.4	0.2
166.050967	1.125	0.375
166.087352	1.444444444	0.222222222
168.030231	1	0.571428571
169.014247	0.857142857	0.714285714
169.050632	1.25	0.5
170.975753	0.666666667	0.666666667
171.045153	0.727272727	0.181818182
171.066282	1.5	0.5
173.081932	1.75	0.5
174.056052	0.9	0.2
175.040068	0.8	0.3
175.051301	0.888888889	0.222222222
175.076453	1.090909091	0.181818182
176.035317	0.777777778	0.333333333
177.019332	0.666666667	0.444444444
177.033937	2	0.6
177.055718	1	0.3
177.092103	1.272727273	0.181818182
178.050967	1	0.333333333
179.034982	0.888888889	0.444444444
179.050238	0.615384615	0.076923077
179.071368	1.2	0.3
180.030231	0.875	0.5
180.066617	1.222222222	0.333333333
181.014247	0.75	0.625
181.050632	1.111111111	0.444444444
182.009496	0.714285714	0.714285714
183.004745	0.666666667	0.833333333
183.029897	1	0.625
183.066282	1.333333333	0.444444444
184.061531	1.375	0.5
185.035651	0.6	0.2
185.045547	1.25	0.625
185.060803	0.833333333	0.166666667
185.081932	1.555555556	0.444444444
186.056052	0.818181818	0.181818182
186.113567	1.888888889	0.333333333
187.014916	0.444444444	0.333333333
187.040068	0.727272727	0.272727273
187.061197	1.5	0.625
187.076453	1	0.166666667
187.097583	1.777777778	0.444444444
187.133968	2	0.3
188.035317	0.7	0.3
188.071702	1	0.181818182
189.019332	0.6	0.4
189.030566	0.666666667	0.333333333
189.055718	0.909090909	0.272727273
189.076847	1.75	0.625
189.092103	1.166666667	0.166666667
190.014581	0.555555556	0.444444444
190.050967	0.9	0.3
191.034982	0.8	0.4
191.071368	1.090909091	0.272727273
192.030231	0.777777778	0.444444444
192.066617	1.1	0.3
193.014247	0.666666667	0.555555556
193.050632	1	0.4
193.087018	1.272727273	0.272727273
194.045881	1	0.444444444
194.049253	2.166666667	0.666666667
194.082267	1.3	0.3
195.029897	0.888888889	0.555555556
195.04113	1	0.5
195.045153	0.615384615	0.153846154
195.051026	2	1.166666667
195.066282	1.2	0.4
195.139053	1.666666667	0.166666667
196.025146	0.875	0.625
196.040402	0.583333333	0.166666667
197.020395	0.857142857	0.714285714
197.024418	0.5	0.25
197.045547	1.111111111	0.555555556
197.060803	0.769230769	0.153846154
197.081932	1.4	0.4
197.986652	0.714285714	0.571428571
198.00441	0.714285714	0.857142857
198.040796	1.125	0.625
199.007053	1	0.5
199.024812	1	0.75
199.040068	0.666666667	0.25
199.061197	1.333333333	0.555555556
199.076453	0.923076923	0.153846154
199.097583	1.6	0.4
199.133968	1.818181818	0.272727273
200.071702	0.916666667	0.166666667
200.986318	0.857142857	0.714285714
201.055718	0.833333333	0.25
201.076847	1.555555556	0.555555556
201.113233	1.8	0.4
202.050967	0.818181818	0.272727273
202.072096	1.625	0.625
202.087352	1.083333333	0.166666667
203.034982	0.727272727	0.363636364
203.046216	0.8	0.3
203.071368	1	0.25
203.092497	1.777777778	0.555555556
204.030231	0.7	0.4
204.066617	1	0.272727273
204.103002	1.25	0.166666667
205.014247	0.6	0.5
205.02548	0.666666667	0.444444444
205.050632	0.909090909	0.363636364
205.087018	1.166666667	0.25
205.123403	1.384615385	0.153846154
206.009496	0.555555556	0.555555556
206.045881	0.9	0.4
206.993511	0.444444444	0.666666667
207.029897	0.8	0.5
207.066282	1.090909091	0.363636364
207.081539	0.8	0.066666667
207.139053	1.538461538	0.153846154
208.025146	0.777777778	0.555555556
208.061531	1.1	0.4
208.064903	2.142857143	0.571428571
208.097917	1.363636364	0.272727273
209.009161	0.666666667	0.666666667
209.045547	1	0.5
209.05678	1.111111111	0.444444444
209.060803	0.714285714	0.142857143
209.081932	1.272727273	0.363636364
209.154703	1.692307692	0.153846154
209.997886	0.714285714	0.428571429
210.040796	1	0.555555556
210.056052	0.692307692	0.153846154
210.077181	1.3	0.4
211.036045	1	0.625
211.040068	0.615384615	0.230769231
211.051301	0.666666667	0.166666667
211.061197	1.2	0.5
211.07243	1.333333333	0.444444444
211.076453	0.857142857	0.142857143
211.097583	1.454545455	0.363636364
211.133968	1.666666667	0.25
212.035317	0.583333333	0.25
212.071702	0.846153846	0.153846154
212.082936	0.916666667	0.083333333
213.030566	0.545454545	0.272727273
213.055718	0.769230769	0.230769231
213.066951	0.833333333	0.166666667
213.076847	1.4	0.5
213.113233	1.636363636	0.363636364
213.124466	1.8	0.3
213.149618	1.833333333	0.25
214.014581	0.454545455	0.363636364
214.050967	0.75	0.25
214.087352	1	0.153846154
214.101957	1.888888889	0.111111111
214.123738	1.214285714	0.071428571
